            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Earners (persons),,,,,,,Median age of earners (years),,,,,,,Sum ($),,,,,,,Median ($),,,,,,,Mean ($),,,,,,,,,,,,,
46090,Port Augusta," 7,017 "," 6,940 "," 6,967 "," 6,858 "," 6,522 "," 6,631 "," 6,784 ", 43 , 44 , 44 , 44 , 44 , 44 , 43 ," 374,000,000 "," 380,000,000 "," 391,000,000 "," 392,000,000 "," 379,000,000 "," 381,249,938 "," 399,143,096 "," 46,681 "," 47,200 "," 47,823 "," 48,908 "," 49,164 "," 49,128 "," 51,941 "," 53,314 "," 54,777 "," 56,087 "," 57,100 "," 58,157 "," 57,495 "," 58,836 ",,,,,,,
46300,Port Lincoln," 8,301 "," 8,214 "," 8,151 "," 8,043 "," 8,343 "," 7,979 "," 8,162 ", 43 , 43 , 44 , 44 , 44 , 44 , 44 ," 409,000,000 "," 420,000,000 "," 426,000,000 "," 432,000,000 "," 453,000,000 "," 433,750,007 "," 440,376,088 "," 40,960 "," 42,332 "," 42,920 "," 44,032 "," 44,157 "," 44,817 "," 45,413 "," 49,263 "," 51,094 "," 52,325 "," 53,711 "," 54,244 "," 54,361 "," 53,954 ",,,,,,,
46450,Port Pirie City and Dists," 7,911 "," 7,779 "," 7,808 "," 7,921 "," 7,703 "," 7,848 "," 7,978 ", 44 , 45 , 45 , 45 , 45 , 45 , 45 ," 375,000,000 "," 386,000,000 "," 395,000,000 "," 418,000,000 "," 404,000,000 "," 429,982,188 "," 432,559,583 "," 40,233 "," 41,659 "," 42,867 "," 44,406 "," 44,777 "," 45,937 "," 46,804 "," 47,437 "," 49,558 "," 50,614 "," 52,815 "," 52,501 "," 54,789 "," 54,219 ",,,,,,,
46510,Prospect," 11,917 "," 11,966 "," 12,198 "," 12,478 "," 12,435 "," 12,759 "," 13,195 ", 41 , 41 , 42 , 42 , 42 , 42 , 42 ," 703,000,000 "," 727,000,000 "," 775,000,000 "," 801,000,000 "," 819,000,000 "," 859,959,254 "," 910,116,435 "," 47,137 "," 48,707 "," 50,679 "," 51,884 "," 52,491 "," 54,255 "," 55,600 "," 58,999 "," 60,775 "," 63,517 "," 64,230 "," 65,832 "," 67,400 "," 68,974 ",,,,,,,
46670,Renmark Paringa," 5,070 "," 5,094 "," 5,116 "," 5,251 "," 5,021 "," 5,187 "," 5,210 ", 44 , 44 , 44 , 44 , 44 , 44 , 45 ," 193,000,000 "," 200,000,000 "," 212,000,000 "," 226,000,000 "," 225,000,000 "," 239,397,675 "," 252,756,481 "," 34,447 "," 34,452 "," 36,303 "," 37,277 "," 38,748 "," 39,268 "," 42,099 "," 37,978 "," 39,235 "," 41,357 "," 42,954 "," 44,747 "," 46,153 "," 48,514 ",,,,,,,
46860,Robe, 841 , 864 , 861 , 886 , 836 , 925 , 964 , 48 , 49 , 50 , 50 , 49 , 51 , 52 ," 34,979,535 "," 33,568,553 "," 38,286,647 "," 42,418,441 "," 42,963,373 "," 47,942,469 "," 49,763,991 "," 31,346 "," 30,379 "," 33,847 "," 37,223 "," 36,141 "," 38,922 "," 39,219 "," 41,593 "," 38,852 "," 44,468 "," 47,876 "," 51,392 "," 51,830 "," 51,622 ",,,,,,,
46970,Roxby Downs," 2,731 "," 2,599 "," 2,599 "," 2,497 "," 2,326 "," 2,520 "," 2,554 ", 34 , 35 , 35 , 36 , 36 , 36 , 36 ," 230,000,000 "," 240,000,000 "," 239,000,000 "," 236,000,000 "," 202,000,000 "," 220,057,795 "," 244,470,247 "," 78,501 "," 85,970 "," 84,723 "," 86,357 "," 82,195 "," 84,659 "," 92,398 "," 84,137 "," 92,174 "," 92,012 "," 94,621 "," 86,883 "," 87,325 "," 95,721 ",,,,,,,
47140,Salisbury," 65,130 "," 64,963 "," 65,987 "," 67,487 "," 67,627 "," 69,517 "," 71,582 ", 40 , 40 , 40 , 40 , 40 , 40 , 40 ," 2,880,000,000 "," 2,990,000,000 "," 3,110,000,000 "," 3,210,000,000 "," 3,250,000,000 "," 3,391,626,744 "," 3,590,822,155 "," 41,206 "," 42,614 "," 43,572 "," 44,158 "," 44,844 "," 45,340 "," 46,749 "," 44,171 "," 46,075 "," 47,114 "," 47,607 "," 48,079 "," 48,788 "," 50,164 ",,,,,,,
47290,Southern Mallee," 1,250 "," 1,277 "," 1,263 "," 1,306 "," 1,103 "," 1,274 "," 1,240 ", 47 , 47 , 48 , 48 , 44 , 47 , 47 ," 52,553,616 "," 48,261,808 "," 49,517,464 "," 55,590,767 "," 51,005,082 "," 64,294,729 "," 72,325,478 "," 36,577 "," 32,880 "," 32,706 "," 35,605 "," 36,454 "," 40,899 "," 44,407 "," 42,043 "," 37,793 "," 39,206 "," 42,566 "," 46,242 "," 50,467 "," 58,327 ",,,,,,,
47490,Streaky Bay," 1,209 "," 1,229 "," 1,236 "," 1,268 "," 1,265 "," 1,284 "," 1,265 ", 48 , 48 , 49 , 49 , 48 , 48 , 48 ," 62,091,818 "," 54,668,010 "," 61,487,697 "," 69,182,501 "," 62,136,093 "," 71,004,103 "," 60,030,141 "," 38,101 "," 34,932 "," 39,508 "," 42,221 "," 38,189 "," 42,184 "," 36,920 "," 51,358 "," 44,482 "," 49,747 "," 54,560 "," 49,119 "," 55,299 "," 47,455 ",,,,,,,
47630,Tatiara," 4,112 "," 4,160 "," 4,330 "," 4,386 "," 4,093 "," 4,325 "," 4,431 ", 45 , 45 , 44 , 45 , 45 , 45 , 45 ," 162,000,000 "," 168,000,000 "," 192,000,000 "," 184,000,000 "," 177,000,000 "," 210,527,694 "," 224,716,413 "," 36,348 "," 36,511 "," 38,873 "," 38,451 "," 39,357 "," 42,551 "," 44,707 "," 39,406 "," 40,497 "," 44,286 "," 42,001 "," 43,329 "," 48,677 "," 50,715 ",,,,,,,
47700,Tea Tree Gully," 56,438 "," 55,993 "," 56,616 "," 57,020 "," 56,704 "," 57,414 "," 58,379 ", 44 , 44 , 44 , 44 , 44 , 44 , 44 ," 2,780,000,000 "," 2,870,000,000 "," 2,970,000,000 "," 3,050,000,000 "," 3,070,000,000 "," 3,144,382,529 "," 3,287,872,733 "," 43,921 "," 45,471 "," 46,575 "," 47,480 "," 48,126 "," 48,917 "," 50,362 "," 49,297 "," 51,251 "," 52,501 "," 53,425 "," 54,210 "," 54,767 "," 56,319 ",,,,,,,
47800,The Coorong," 2,895 "," 2,840 "," 2,825 "," 2,853 "," 2,595 "," 2,790 "," 2,826 ", 47 , 48 , 48 , 49 , 49 , 49 , 48 ," 114,000,000 "," 115,000,000 "," 114,000,000 "," 121,000,000 "," 108,000,000 "," 129,635,557 "," 139,660,750 "," 32,388 "," 34,114 "," 34,557 "," 36,397 "," 36,701 "," 39,410 "," 40,617 "," 39,491 "," 40,668 "," 40,494 "," 42,363 "," 41,459 "," 46,464 "," 49,420 ",,,,,,,
47910,Tumby Bay," 1,366 "," 1,349 "," 1,343 "," 1,381 "," 1,296 "," 1,407 "," 1,454 ", 49 , 49 , 49 , 49 , 49 , 49 , 50 ," 61,694,761 "," 61,168,617 "," 64,832,147 "," 66,470,778 "," 64,312,350 "," 70,205,186 "," 61,065,448 "," 37,140 "," 36,722 "," 37,264 "," 36,979 "," 39,818 "," 39,524 "," 35,249 "," 45,165 "," 45,344 "," 48,274 "," 48,132 "," 49,624 "," 49,897 "," 41,998 ",,,,,,,
47980,Unley," 22,962 "," 22,993 "," 23,145 "," 23,660 "," 23,936 "," 24,359 "," 24,682 ", 44 , 44 , 45 , 45 , 46 , 46 , 46 ," 1,670,000,000 "," 1,720,000,000 "," 1,800,000,000 "," 1,870,000,000 "," 1,920,000,000 "," 1,979,826,166 "," 2,041,297,308 "," 50,620 "," 52,588 "," 53,739 "," 54,713 "," 55,452 "," 56,603 "," 57,925 "," 72,684 "," 74,973 "," 77,673 "," 79,145 "," 80,068 "," 81,277 "," 82,704 ",,,,,,,
48050,Victor Harbor," 7,106 "," 7,132 "," 7,139 "," 7,196 "," 7,086 "," 7,352 "," 7,483 ", 53 , 53 , 54 , 54 , 54 , 54 , 54 ," 270,000,000 "," 278,000,000 "," 292,000,000 "," 302,000,000 "," 297,000,000 "," 307,419,557 "," 324,742,672 "," 30,137 "," 30,845 "," 31,463 "," 32,299 "," 33,160 "," 32,912 "," 34,252 "," 37,998 "," 38,964 "," 40,919 "," 41,992 "," 41,893 "," 41,814 "," 43,397 ",,,,,,,
48130,Wakefield," 3,379 "," 3,419 "," 3,458 "," 3,540 "," 3,068 "," 3,319 "," 3,544 ", 46 , 47 , 46 , 46 , 46 , 46 , 46 ," 156,000,000 "," 158,000,000 "," 171,000,000 "," 187,000,000 "," 144,000,000 "," 168,898,009 "," 184,037,347 "," 38,992 "," 39,900 "," 40,793 "," 42,798 "," 40,713 "," 43,171 "," 44,829 "," 46,174 "," 46,199 "," 49,495 "," 52,813 "," 47,098 "," 50,888 "," 51,929 ",,,,,,,
48260,Walkerville," 4,455 "," 4,482 "," 4,592 "," 4,689 "," 4,693 "," 4,863 "," 4,997 ", 49 , 49 , 49 , 49 , 49 , 49 , 48 ," 388,000,000 "," 412,000,000 "," 455,000,000 "," 475,000,000 "," 473,000,000 "," 502,000,670 "," 523,593,177 "," 51,941 "," 55,060 "," 56,640 "," 58,744 "," 60,198 "," 59,114 "," 60,803 "," 87,001 "," 91,975 "," 99,004 "," 101,286 "," 100,858 "," 103,229 "," 104,782 ",,,,,,,
48340,Wattle Range," 6,404 "," 6,306 "," 6,285 "," 6,285 "," 6,056 "," 6,278 "," 6,383 ", 46 , 46 , 47 , 47 , 47 , 48 , 48 ," 306,000,000 "," 278,000,000 "," 302,000,000 "," 322,000,000 "," 333,000,000 "," 343,677,190 "," 342,967,079 "," 38,681 "," 37,034 "," 39,896 "," 42,008 "," 43,626 "," 43,952 "," 44,642 "," 47,732 "," 44,009 "," 48,099 "," 51,250 "," 55,009 "," 54,743 "," 53,731 ",,,,,,,
48410,West Torrens," 31,519 "," 31,773 "," 32,370 "," 33,027 "," 32,874 "," 33,987 "," 35,367 ", 40 , 40 , 41 , 41 , 41 , 41 , 40 ," 1,560,000,000 "," 1,630,000,000 "," 1,700,000,000 "," 1,770,000,000 "," 1,790,000,000 "," 1,871,580,691 "," 2,009,646,499 "," 42,081 "," 43,602 "," 44,777 "," 45,585 "," 46,193 "," 46,644 "," 48,326 "," 49,366 "," 51,369 "," 52,652 "," 53,656 "," 54,438 "," 55,068 "," 56,823 ",,,,,,,
48540,Whyalla," 10,420 "," 10,426 "," 10,421 "," 10,328 "," 9,845 "," 9,748 "," 9,981 ", 41 , 42 , 42 , 43 , 43 , 44 , 44 ," 594,000,000 "," 642,000,000 "," 647,000,000 "," 651,000,000 "," 606,000,000 "," 583,319,703 "," 611,420,699 "," 49,600 "," 52,493 "," 53,716 "," 53,605 "," 52,980 "," 51,629 "," 54,196 "," 57,034 "," 61,601 "," 62,126 "," 63,022 "," 61,522 "," 59,840 "," 61,258 ",,,,,,,
48640,Wudinna, 767 , 776 , 780 , 799 , 653 , 708 , 724 , 43 , 45 , 45 , 45 , 44 , 45 , 45 ," 46,460,549 "," 43,870,060 "," 44,667,172 "," 49,335,488 "," 39,546,693 "," 49,286,537 "," 31,182,206 "," 43,931 "," 47,095 "," 45,492 "," 50,310 "," 48,824 "," 49,547 "," 38,672 "," 60,574 "," 56,534 "," 57,266 "," 61,747 "," 60,562 "," 69,614 "," 43,069 ",,,,,,,
48750,Yankalilla," 2,391 "," 2,376 "," 2,482 "," 2,557 "," 2,485 "," 2,636 "," 2,707 ", 52 , 52 , 53 , 52 , 53 , 53 , 53 ," 96,249,066 "," 95,572,789 "," 105,000,000 "," 111,000,000 "," 106,000,000 "," 114,621,293 "," 120,593,503 "," 32,117 "," 32,795 "," 34,675 "," 34,432 "," 35,487 "," 35,047 "," 36,723 "," 40,255 "," 40,224 "," 42,380 "," 43,231 "," 42,787 "," 43,483 "," 44,549 ",,,,,,,
48830,Yorke Peninsula," 5,432 "," 5,399 "," 5,428 "," 5,497 "," 5,167 "," 5,393 "," 5,463 ", 51 , 51 , 52 , 52 , 53 , 52 , 53 ," 243,000,000 "," 239,000,000 "," 255,000,000 "," 278,000,000 "," 239,000,000 "," 289,976,585 "," 274,460,847 "," 34,122 "," 34,519 "," 36,252 "," 36,935 "," 35,788 "," 38,023 "," 38,900 "," 44,779 "," 44,246 "," 47,058 "," 50,612 "," 46,190 "," 53,769 "," 50,240 ",,,,,,,
Western Australia,," 1,349,170 "," 1,398,762 "," 1,429,386 "," 1,468,898 "," 1,464,653 "," 1,479,554 "," 1,500,199 ", 41 , 41 , 41 , 41 , 42 , 42 , 42 ," 85,525,346,155 "," 94,863,785,370 "," 99,264,207,314 "," 103,343,433,098 "," 101,256,261,155 "," 100,126,078,656 "," 103,310,913,753 "," 48,122 "," 51,242 "," 52,275 "," 52,989 "," 52,504 "," 51,450 "," 52,671 "," 63,391 "," 67,820 "," 69,445 "," 70,354 "," 69,133 "," 67,673 "," 68,865 ",,,,,,,
50080,Albany," 19,755 "," 20,125 "," 20,674 "," 21,288 "," 21,682 "," 21,752 "," 22,116 ", 46 , 46 , 46 , 46 , 47 , 47 , 47 ," 936,000,000 "," 1,000,000,000 "," 1,080,000,000 "," 1,130,000,000 "," 1,170,000,000 "," 1,158,892,083 "," 1,197,964,456 "," 38,392 "," 40,386 "," 41,522 "," 42,537 "," 43,350 "," 43,270 "," 44,489 "," 47,393 "," 49,842 "," 52,089 "," 52,938 "," 53,848 "," 53,277 "," 54,167 ",,,,,,,
50210,Armadale," 36,753 "," 39,023 "," 40,952 "," 43,259 "," 45,059 "," 46,058 "," 47,320 ", 40 , 39 , 39 , 39 , 38 , 39 , 39 ," 2,090,000,000 "," 2,350,000,000 "," 2,520,000,000 "," 2,700,000,000 "," 2,770,000,000 "," 2,771,089,742 "," 2,891,615,345 "," 48,044 "," 51,093 "," 52,020 "," 52,831 "," 52,567 "," 51,807 "," 53,059 "," 56,877 "," 60,230 "," 61,556 "," 62,353 "," 61,488 "," 60,165 "," 61,108 ",,,,,,,
50250,Ashburton," 3,366 "," 3,609 "," 3,753 "," 3,714 "," 3,636 "," 3,525 "," 3,413 ", 37 , 38 , 38 , 38 , 38 , 39 , 39 ," 304,000,000 "," 344,000,000 "," 378,000,000 "," 391,000,000 "," 364,000,000 "," 354,482,390 "," 337,743,600 "," 85,391 "," 95,024 "," 99,459 "," 105,009 "," 100,665 "," 99,988 "," 97,862 "," 90,204 "," 95,272 "," 100,601 "," 105,209 "," 100,025 "," 100,562 "," 98,958 ",,,,,,,
50280,Augusta-Margaret River," 8,096 "," 8,560 "," 8,937 "," 9,341 "," 9,499 "," 9,772 "," 9,955 ", 42 , 42 , 43 , 43 , 43 , 44 , 44 ," 371,000,000 "," 413,000,000 "," 448,000,000 "," 488,000,000 "," 490,000,000 "," 489,551,880 "," 523,408,465 "," 35,609 "," 35,787 "," 37,610 "," 38,388 "," 38,719 "," 38,241 "," 40,000 "," 45,883 "," 48,226 "," 50,168 "," 52,228 "," 51,542 "," 50,097 "," 52,577 ",,,,,,,
50350,Bassendean," 8,642 "," 8,973 "," 9,096 "," 9,188 "," 9,107 "," 8,928 "," 9,065 ", 41 , 41 , 41 , 41 , 41 , 42 , 42 ," 509,000,000 "," 565,000,000 "," 583,000,000 "," 598,000,000 "," 593,000,000 "," 570,352,738 "," 596,929,135 "," 49,931 "," 52,491 "," 53,683 "," 54,984 "," 54,718 "," 54,188 "," 55,928 "," 58,920 "," 63,013 "," 64,139 "," 65,078 "," 65,154 "," 63,884 "," 65,850 ",,,,,,,
50420,Bayswater," 39,394 "," 40,839 "," 41,527 "," 42,024 "," 41,726 "," 41,058 "," 41,255 ", 39 , 39 , 39 , 39 , 39 , 40 , 40 ," 2,280,000,000 "," 2,520,000,000 "," 2,600,000,000 "," 2,650,000,000 "," 2,630,000,000 "," 2,541,693,068 "," 2,597,606,002 "," 47,725 "," 50,664 "," 51,784 "," 52,068 "," 51,926 "," 50,959 "," 52,156 "," 57,859 "," 61,781 "," 62,636 "," 63,164 "," 63,005 "," 61,905 "," 62,965 ",,,,,,,
50490,Belmont," 21,602 "," 22,536 "," 22,808 "," 23,575 "," 23,925 "," 23,824 "," 24,231 ", 37 , 36 , 36 , 36 , 36 , 37 , 37 ," 1,260,000,000 "," 1,400,000,000 "," 1,430,000,000 "," 1,480,000,000 "," 1,480,000,000 "," 1,421,383,948 "," 1,493,329,162 "," 48,812 "," 51,642 "," 51,797 "," 52,111 "," 51,466 "," 50,479 "," 52,284 "," 58,318 "," 62,005 "," 62,601 "," 62,988 "," 61,716 "," 59,662 "," 61,629 ",,,,,,,
50560,Beverley, 877 , 890 , 915 , 901 , 894 , 919 , 907 , 53 , 53 , 53 , 53 , 54 , 53 , 54 ," 41,746,434 "," 47,167,689 "," 52,781,950 "," 56,731,335 "," 58,299,899 "," 62,188,827 "," 61,895,573 "," 34,791 "," 38,466 "," 40,518 "," 43,799 "," 39,895 "," 44,436 "," 47,565 "," 47,601 "," 52,997 "," 57,685 "," 62,965 "," 65,212 "," 67,670 "," 68,242 ",,,,,,,
50630,Boddington, 938 , 967 , 986 ," 1,047 "," 1,015 ", 974 ," 1,011 ", 44 , 44 , 43 , 44 , 45 , 46 , 45 ," 64,946,415 "," 68,581,780 "," 74,952,137 "," 81,171,281 "," 77,706,434 "," 75,129,814 "," 75,670,340 "," 62,125 "," 67,010 "," 68,596 "," 68,409 "," 65,042 "," 66,199 "," 67,025 "," 69,239 "," 70,922 "," 76,016 "," 77,527 "," 76,558 "," 77,135 "," 74,847 ",,,,,,,
50770,Boyup Brook, 972 , 959 , 974 , 993 ," 1,028 "," 1,032 "," 1,020 ", 48 , 49 , 50 , 50 , 50 , 50 , 50 ," 43,452,897 "," 40,036,877 "," 44,893,745 "," 51,639,942 "," 56,861,900 "," 61,973,098 "," 55,954,766 "," 35,422 "," 30,165 "," 34,069 "," 39,706 "," 41,153 "," 44,506 "," 42,438 "," 44,705 "," 41,749 "," 46,092 "," 52,004 "," 55,313 "," 60,051 "," 54,858 ",,,,,,,
50840,Bridgetown-Greenbushes," 2,411 "," 2,464 "," 2,473 "," 2,521 "," 2,569 "," 2,590 "," 2,646 ", 50 , 50 , 50 , 51 , 51 , 51 , 51 ," 113,000,000 "," 125,000,000 "," 130,000,000 "," 137,000,000 "," 143,000,000 "," 145,212,566 "," 141,674,407 "," 36,405 "," 37,110 "," 39,045 "," 39,952 "," 39,080 "," 40,448 "," 41,086 "," 47,012 "," 50,927 "," 52,575 "," 54,257 "," 55,635 "," 56,067 "," 53,543 ",,,,,,,
50910,Brookton, 520 , 559 , 538 , 563 , 537 , 551 , 563 , 48 , 48 , 48 , 49 , 50 , 49 , 50 ," 23,648,251 "," 29,677,989 "," 31,723,558 "," 39,059,406 "," 29,475,670 "," 31,432,131 "," 35,877,998 "," 37,647 "," 41,377 "," 45,081 "," 47,253 "," 44,087 "," 43,123 "," 49,057 "," 45,477 "," 53,091 "," 58,966 "," 69,377 "," 54,890 "," 57,046 "," 63,726 ",,,,,,,
50980,Broome," 7,570 "," 8,041 "," 8,293 "," 8,478 "," 8,508 "," 8,745 "," 8,883 ", 38 , 38 , 38 , 38 , 38 , 39 , 39 ," 456,000,000 "," 508,000,000 "," 533,000,000 "," 548,000,000 "," 562,000,000 "," 562,461,381 "," 590,861,010 "," 50,692 "," 52,737 "," 54,305 "," 55,085 "," 56,276 "," 54,247 "," 56,683 "," 60,199 "," 63,151 "," 64,309 "," 64,672 "," 66,009 "," 64,318 "," 66,516 ",,,,,,,
51080,Broomehill-Tambellup, 553 , 532 , 524 , 523 , 527 , 571 , 598 , 46 , 47 , 46 , 45 , 46 , 47 , 46 ," 21,826,049 "," 26,946,317 "," 32,146,434 "," 34,497,679 "," 26,839,563 "," 34,359,224 "," 37,034,885 "," 33,107 "," 39,029 "," 42,601 "," 47,735 "," 45,023 "," 49,292 "," 51,087 "," 39,468 "," 50,651 "," 61,348 "," 65,961 "," 50,929 "," 60,174 "," 61,931 ",,,,,,,
51120,Bruce Rock, 548 , 515 , 524 , 529 , 509 , 506 , 509 , 49 , 49 , 48 , 48 , 49 , 48 , 48 ," 23,735,670 "," 27,901,296 "," 47,135,835 "," 51,334,921 "," 34,665,782 "," 33,284,225 "," 40,403,632 "," 35,377 "," 46,529 "," 59,927 "," 64,282 "," 53,118 "," 54,306 "," 57,445 "," 43,313 "," 54,177 "," 89,954 "," 97,041 "," 68,106 "," 65,779 "," 79,378 ",,,,,,,
51190,Bunbury," 18,156 "," 18,447 "," 18,582 "," 18,722 "," 18,345 "," 17,903 "," 17,987 ", 42 , 42 , 43 , 43 , 44 , 44 , 45 ," 1,080,000,000 "," 1,150,000,000 "," 1,160,000,000 "," 1,200,000,000 "," 1,140,000,000 "," 1,089,076,375 "," 1,109,618,760 "," 45,583 "," 47,302 "," 47,780 "," 48,470 "," 47,926 "," 47,059 "," 47,482 "," 59,357 "," 62,124 "," 62,649 "," 63,846 "," 62,280 "," 60,832 "," 61,690 ",,,,,,,
51260,Busselton," 19,010 "," 19,854 "," 20,719 "," 21,695 "," 22,254 "," 22,679 "," 23,239 ", 44 , 44 , 44 , 45 , 45 , 45 , 46 ," 986,000,000 "," 1,100,000,000 "," 1,190,000,000 "," 1,270,000,000 "," 1,280,000,000 "," 1,273,534,191 "," 1,308,173,908 "," 38,003 "," 41,288 "," 41,652 "," 42,931 "," 42,695 "," 42,029 "," 42,659 "," 51,880 "," 55,237 "," 57,652 "," 58,423 "," 57,383 "," 56,155 "," 56,292 ",,,,,,,
51310,Cambridge," 16,397 "," 16,842 "," 17,176 "," 17,714 "," 17,679 "," 18,198 "," 18,606 ", 45 , 45 , 45 , 46 , 46 , 46 , 47 ," 1,670,000,000 "," 1,830,000,000 "," 1,920,000,000 "," 2,030,000,000 "," 2,000,000,000 "," 2,016,377,691 "," 2,093,207,024 "," 60,803 "," 65,424 "," 67,015 "," 68,393 "," 68,275 "," 67,315 "," 66,887 "," 101,636 "," 108,503 "," 111,520 "," 114,566 "," 113,350 "," 110,802 "," 112,502 ",,,,,,,
51330,Canning," 53,726 "," 55,232 "," 55,843 "," 56,460 "," 55,638 "," 54,825 "," 55,695 ", 40 , 39 , 40 , 40 , 40 , 40 , 40 ," 3,030,000,000 "," 3,290,000,000 "," 3,360,000,000 "," 3,420,000,000 "," 3,300,000,000 "," 3,149,939,007 "," 3,304,212,397 "," 44,811 "," 47,039 "," 47,295 "," 47,616 "," 46,688 "," 44,799 "," 46,130 "," 56,336 "," 59,513 "," 60,250 "," 60,618 "," 59,329 "," 57,454 "," 59,327 ",,,,,,,
51400,Capel," 8,481 "," 8,872 "," 9,254 "," 9,674 "," 9,765 "," 10,052 "," 10,223 ", 42 , 43 , 43 , 43 , 43 , 44 , 44 ," 537,000,000 "," 593,000,000 "," 633,000,000 "," 685,000,000 "," 682,000,000 "," 670,091,418 "," 683,923,230 "," 49,567 "," 50,664 "," 52,069 "," 52,994 "," 53,528 "," 52,242 "," 53,405 "," 63,327 "," 66,879 "," 68,446 "," 70,810 "," 69,874 "," 66,662 "," 66,900 ",,,,,,,
51470,Carnamah, 403 , 384 , 386 , 343 , 391 , 396 , 384 , 46 , 47 , 48 , 49 , 49 , 47 , 47 ," 20,475,285 "," 27,456,886 "," 23,102,567 "," 21,697,355 "," 21,935,821 "," 28,162,430 "," 22,623,011 "," 38,115 "," 46,581 "," 47,395 "," 50,384 "," 42,898 "," 54,462 "," 47,701 "," 50,807 "," 71,502 "," 59,851 "," 63,258 "," 56,102 "," 71,117 "," 58,914 ",,,,,,,
51540,Carnarvon," 3,101 "," 3,279 "," 3,253 "," 3,208 "," 3,072 "," 3,025 "," 2,976 ", 41 , 41 , 41 , 42 , 42 , 43 , 43 ," 165,000,000 "," 174,000,000 "," 176,000,000 "," 180,000,000 "," 174,000,000 "," 173,212,264 "," 165,593,700 "," 42,101 "," 41,462 "," 42,884 "," 44,155 "," 44,761 "," 45,460 "," 44,728 "," 53,136 "," 52,918 "," 53,961 "," 56,228 "," 56,659 "," 57,260 "," 55,643 ",,,,,,,
51610,Chapman Valley, 613 , 617 , 659 , 708 , 750 , 787 , 853 , 45 , 46 , 47 , 46 , 46 , 47 , 47 ," 36,914,988 "," 41,184,083 "," 40,834,264 "," 47,119,020 "," 54,131,382 "," 55,857,215 "," 59,245,808 "," 51,895 "," 54,346 "," 50,309 "," 54,065 "," 54,744 "," 55,382 "," 53,191 "," 60,220 "," 66,749 "," 61,964 "," 66,552 "," 72,175 "," 70,975 "," 69,456 ",,,,,,,
51680,Chittering," 2,590 "," 2,735 "," 2,922 "," 3,060 "," 3,159 "," 3,237 "," 3,319 ", 46 , 46 , 46 , 46 , 46 , 47 , 48 ," 142,000,000 "," 168,000,000 "," 186,000,000 "," 195,000,000 "," 198,000,000 "," 198,562,529 "," 212,232,158 "," 42,850 "," 46,995 "," 48,564 "," 48,330 "," 48,207 "," 48,393 "," 51,746 "," 54,801 "," 61,526 "," 63,682 "," 63,677 "," 62,770 "," 61,342 "," 63,945 ",,,,,,,
51750,Claremont," 6,253 "," 6,443 "," 6,534 "," 6,703 "," 6,609 "," 6,746 "," 6,812 ", 48 , 48 , 48 , 49 , 49 , 49 , 50 ," 672,000,000 "," 720,000,000 "," 765,000,000 "," 795,000,000 "," 757,000,000 "," 774,516,014 "," 797,126,302 "," 57,339 "," 60,992 "," 61,692 "," 62,661 "," 62,159 "," 62,245 "," 61,947 "," 107,544 "," 111,793 "," 117,009 "," 118,651 "," 114,536 "," 114,811 "," 117,018 ",,,,,,,
51820,Cockburn," 56,013 "," 58,729 "," 60,609 "," 62,884 "," 63,861 "," 65,173 "," 66,924 ", 39 , 39 , 40 , 40 , 40 , 40 , 40 ," 3,460,000,000 "," 3,890,000,000 "," 4,090,000,000 "," 4,320,000,000 "," 4,320,000,000 "," 4,283,211,746 "," 4,469,353,072 "," 50,633 "," 53,833 "," 54,859 "," 55,711 "," 55,417 "," 54,166 "," 55,334 "," 61,727 "," 66,229 "," 67,462 "," 68,628 "," 67,658 "," 65,721 "," 66,783 ",,,,,,,
51890,Collie," 4,613 "," 4,539 "," 4,473 "," 4,521 "," 4,398 "," 4,406 "," 4,386 ", 44 , 44 , 45 , 45 , 46 , 46 , 46 ," 295,000,000 "," 304,000,000 "," 305,000,000 "," 318,000,000 "," 307,000,000 "," 286,943,567 "," 283,325,074 "," 50,318 "," 51,907 "," 52,204 "," 52,290 "," 50,358 "," 47,066 "," 48,860 "," 64,022 "," 67,037 "," 68,264 "," 70,302 "," 69,733 "," 65,126 "," 64,598 ",,,,,,,
51960,Coolgardie," 1,926 "," 1,864 "," 1,736 "," 1,747 "," 1,710 "," 1,696 "," 1,706 ", 39 , 40 , 41 , 41 , 41 , 42 , 43 ," 143,000,000 "," 146,000,000 "," 135,000,000 "," 137,000,000 "," 131,000,000 "," 126,389,215 "," 133,803,297 "," 68,424 "," 69,600 "," 70,274 "," 70,346 "," 64,132 "," 63,474 "," 65,366 "," 74,197 "," 78,459 "," 78,016 "," 78,213 "," 76,442 "," 74,522 "," 78,431 ",,,,,,,
